"","nazwa","wyswietlacz","pamiec_RAM","pamiec_wbudowana","aparat_foto","cena","liczba_opinii","ocena","status_opinii"
"1","Galaxy A55",6.6,8,128,50,2099,2,4,"mniej niż 50"
"2","Galaxy A35",6.6,6,128,50,1649,0,4,"nie ma"
"3","Galaxy S24 Ultra",6.8,12,512,50,6599,43,5,"mniej niż 50"
"4","Galaxy A54",6.4,8,128,50,2399,192,5,"więcej niż 100"
"5","Galaxy A34",6.6,6,128,48,1899,63,5,"50-100"
"6","Galaxy A25",6.5,6,128,50,1099,5,4.5,"mniej niż 50"
"7","Galaxy S23",6.1,8,256,50,3499,164,5,"więcej niż 100"
"8","Galaxy S23+",6.6,8,256,50,4499,8,5,"mniej niż 50"
"9","Galaxy S21 FE",6.4,6,128,32,2999,55,4.5,"50-100"
"10","Galaxy M34",6.5,6,128,50,1199,23,5,"mniej niż 50"
"11","Galaxy S22",6.1,8,128,50,3999,141,4.5,"więcej niż 100"
"12","Galaxy S5",6.5,8,64,32,1599,33,5,"mniej niż 50"
"13","Galaxy S6",6.4,8,64,36,1999,66,4.5,"50-100"
"14","Galaxy S7",6.1,16,128,48,2599,99,5,"50-100"
"15","Galaxy S9",6.6,16,128,50,2999,124,5,"więcej niż 100"
